Number,Sentence,Highest_Label,Positive_Score,Neutral_Score,Negative_Score
13,"So first she tasted the porridge of the Great, Huge Bear, and that was too hot for her; and she said a bad word about that.",Negative,0.019451770931482315,0.19868505001068115,0.7818631529808044
14,"And then she tasted the porridge of the Middle Bear, and that was too cold for her; and she said a bad word about that too.",Negative,0.007549441885203123,0.117061547935009,0.875389039516449
15,"And then she went to the porridge of the Little, Small, Wee Bear, and tasted that; and that was neither too hot, nor too cold, but just right; and she liked it so well, that she ate it all up: but the naughty old Woman said a bad word about the little porridge-pot, because it did not hold enough for her.",Neutral,0.2979465126991272,0.4748269319534302,0.2272266298532486
16,"Then the little old Woman sate down in the chair of the Great, Huge Bear, and that was too hard for her.",Negative,0.03762040287256241,0.38263022899627686,0.579749345779419
17,"And then she sate down in the chair of the Middle Bear, and that was too soft for her.",Negative,0.024588417261838913,0.34143969416618347,0.6339718699455261
18,"And then she sate down in the chair of the Little, Small, Wee Bear, and that was neither too hard, nor too soft, but just right.",Positive,0.604839026927948,0.3764609098434448,0.01870008558034897
19,"So she seated herself in it, and there she sate till the bottom of the chair came out, and down she came, plump upon the ground.",Neutral,0.09380637854337692,0.8594011664390564,0.04679247736930847
20,And the naughty old Woman said a wicked word about that too.,Negative,0.004663871601223946,0.1313876211643219,0.8639485836029053
21,Then the little old Woman went upstairs into the bed-chamber in which the three Bears slept.,Neutral,0.05225449800491333,0.9062981605529785,0.04144725948572159
22,"And first she lay down upon the bed of the Great, Huge Bear; but that was too high at the head for her.",Neutral,0.06553179025650024,0.6088371276855469,0.32563114166259766
23,And next she lay down upon the bed of the Middle Bear; and that was too high at the foot for her.,Neutral,0.03954652324318886,0.6211710572242737,0.33928242325782776
24,"And then she lay down upon the bed of the Little, Small, Wee Bear; and that was neither too high at the head, nor at the foot, but just right.",Neutral,0.42195624113082886,0.5623334646224976,0.015710320323705673
25,"So she covered herself up comfortably, and lay there till she fell fast asleep.",Neutral,0.2921586036682129,0.679111123085022,0.02873029187321663
26,By this time the Three Bears thought their porridge would be cool enough; so they came home to breakfast.,Neutral,0.4747816324234009,0.5138603448867798,0.011357971467077732
27,"Now the little old Woman had left the spoon of the Great, Huge Bear, standing in his porridge.",Neutral,0.07410264015197754,0.788999080657959,0.13689830899238586
28,"“Somebody has been at my porridge!” said the Great, Huge Bear, in his great, rough, gruff voice.",Neutral,0.3534432053565979,0.5727753043174744,0.07378146052360535
29,"And when the Middle Bear looked at his, he saw that the spoon was standing in it too.",Neutral,0.07837525010108948,0.8836484551429749,0.037976332008838654
30,"They were wooden spoons; if they had been silver ones, the naughty old Woman would have put them in her pocket.",Neutral,0.036757830530405045,0.6034376621246338,0.3598044812679291
31,“Somebody has been at my porridge!” said the Middle Bear in his middle voice.,Neutral,0.07274030148983002,0.7151584625244141,0.21210122108459473
32,"Then the Little, Small, Wee Bear looked at his, and there was the spoon in the porridge-pot, but the porridge was all gone.",Neutral,0.054522618651390076,0.7237396836280823,0.22173774242401123
33,"“Somebody has been at my porridge, and has eaten it all up!” said the Little, Small, Wee Bear, in his little, small, wee voice.",Negative,0.062058597803115845,0.3817360997200012,0.5562053322792053
34,"Upon this the Three Bears, seeing that some one had entered their house, and eaten up the Little, Small, Wee Bear's breakfast, began to look about them.",Neutral,0.0718478113412857,0.8398438096046448,0.0883084088563919
35,"Now the little old Woman had not put the hard cushion straight when she rose from the chair of the Great, Huge Bear.",Neutral,0.04376620054244995,0.5459897518157959,0.41024407744407654
36,"“Somebody has been sitting in my chair!” said the Great, Huge Bear, in his great, rough, gruff voice.",Neutral,0.30700597167015076,0.5946537256240845,0.09834021329879761
37,And the little old Woman had squatted down the soft cushion of the Middle Bear.,Neutral,0.10353013128042221,0.8536798357963562,0.04279002919793129
38,"“Somebody has been sitting in my chair!” said the Middle Bear, in his middle voice.",Neutral,0.06603073328733444,0.6906241774559021,0.24334505200386047
39,And you know what the little old Woman had done to the third chair.,Neutral,0.022344326600432396,0.6548635363578796,0.3227921724319458
40,"“Somebody has been sitting in my chair and has sate the bottom out of it!” said the Little, Small, Wee Bear, in his little, small, wee voice.",Neutral,0.08304504305124283,0.48949769139289856,0.4274573028087616
41,Then the Three Bears thought it necessary that they should make farther search; so they went upstairs into their bedchamber.,Neutral,0.053462591022253036,0.9200629591941833,0.026474446058273315
42,"Now the little old Woman had pulled the pillow of the Great, Huge Bear, out of its place.",Neutral,0.07566121965646744,0.7797967195510864,0.14454202353954315
43,"“Somebody has been lying in my bed!” said the Great, Huge Bear, in his great, rough, gruff voice.",Neutral,0.14031660556793213,0.5695505142211914,0.2901328504085541
44,And the little old Woman had pulled the bolster of the Middle Bear out of its place.,Neutral,0.05714796110987663,0.8806086182594299,0.06224339082837105
45,"“Somebody has been lying in my bed!” said the Middle Bear, in his middle voice.",Negative,0.030988797545433044,0.4435670077800751,0.5254441499710083
46,"And when the Little, Small, Wee Bear came to look at his bed, there was the bolster in its place; and the pillow in its place upon the bolster; and upon the pillow was the little old Woman's ugly, dirty head,—which was not in its place, for she had no business there.",Negative,0.029836665838956833,0.3431868255138397,0.626976490020752
47,"“Somebody has been lying in my bed,—and here she is!” said the Little, Small, Wee Bear, in his little, small, wee voice.",Neutral,0.11604438722133636,0.5526432394981384,0.3313123285770416
48,"The little old Woman had heard in her sleep the great, rough, gruff voice of the Great, Huge Bear; but she was so fast asleep that it was no more to her than the roaring of wind, or the rumbling of thunder.",Neutral,0.149199977517128,0.6592605113983154,0.19153951108455658
49,"And she had heard the middle voice, of the Middle Bear, but it was only as if she had heard some one speaking in a dream.",Neutral,0.07036001235246658,0.7652047872543335,0.1644352674484253
50,"But when she heard the little, small, wee voice of the Little, Small, Wee Bear, it was so sharp, and so shrill, that it awakened her at once.",Positive,0.5339005589485168,0.43392041325569153,0.03217899799346924
51,"Up she started; and when she saw the Three Bears on one side of the bed, she tumbled herself out at the other, and ran to the window.",Neutral,0.07149700820446014,0.7078890800476074,0.22061391174793243
52,"Now the window was open, because the Bears, like good, tidy Bears, as they were, always opened their bedchamber window when they got up in the morning.",Positive,0.5701560378074646,0.41775351762771606,0.012090441770851612
53,"Out the little old Woman jumped; and whether she broke her neck in the fall; or ran into the wood and was lost there; or found her way out of the wood, and was taken up by the constable and sent to the House of Correction for a vagrant as she was, I cannot tell.",Neutral,0.025109102949500084,0.5736274123191833,0.4012635350227356
54,But the Three Bears never saw anything more of her.,Neutral,0.06429357081651688,0.6060498356819153,0.32965660095214844
